date,grid_load_mwh,grid_load_incl_pumped_mwh,residual_load_mwh
2024-05-11,1016887.0,1055842.0,555956.0
2024-05-12,973127.0,1023940.0,314310.0
2024-05-13,1260028.0,1297513.0,483889.0
2024-05-14,1293651.0,1335628.0,386166.0
2024-05-15,1287046.0,1325712.0,456144.0
2024-05-16,1310088.0,1356638.0,549816.0
2024-05-17,1278608.0,1316755.0,598228.0
2024-05-18,1073762.0,1109404.0,629396.0
2024-05-19,955874.0,998932.0,573733.0
2024-05-20,964388.0,1006565.0,507284.0
2024-05-21,1261562.0,1296815.0,615912.0
2024-05-22,1307174.0,1351010.0,740426.0
2024-05-23,1235897.0,1273666.0,786692.0
2024-05-24,1212961.0,1230774.0,852446.0
2024-05-25,992193.0,1029760.0,601331.0
2024-05-26,972830.0,1021331.0,520478.0
2024-05-27,1209858.0,1240761.0,800691.0
2024-05-28,1208772.0,1237896.0,765208.0
2024-05-29,1279524.0,1323938.0,664122.0
2024-05-30,1097436.0,1123251.0,767553.0
2024-05-31,1167678.0,1192852.0,803708.0
2024-06-01,1072785.0,1109356.0,558735.0
2024-06-02,1037858.0,1094006.0,422232.0
2024-06-03,1261542.0,1289467.0,879714.0
2024-06-04,1253161.0,1291544.0,822238.0
2024-06-05,1290514.0,1328834.0,649244.0
2024-06-06,1254608.0,1288587.0,715017.0
2024-06-07,1223695.0,1259010.0,729070.0
2024-06-08,1041594.0,1082533.0,394945.0
2024-06-09,984088.0,1040080.0,352774.0
2024-06-10,1238770.0,1273658.0,661055.0
2024-06-11,1288722.0,1333182.0,494751.0
2024-06-12,1297178.0,1331856.0,672108.0
2024-06-13,1265399.0,1294216.0,792194.0
2024-06-14,1258818.0,1284543.0,712388.0
2024-06-15,1049889.0,1108322.0,285345.0
2024-06-16,999384.0,1057924.0,363825.0
2024-06-17,1248698.0,1286756.0,798980.0
2024-06-18,1280398.0,1301312.0,892907.0
2024-06-19,1293134.0,1320126.0,878622.0
2024-06-20,1278746.0,1310501.0,890155.0
2024-06-21,1261185.0,1285431.0,896642.0
2024-06-22,1080582.0,1134664.0,424268.0
2024-06-23,996102.0,1039074.0,555016.0
2024-06-24,1219621.0,1257486.0,767088.0
2024-06-25,1257935.0,1296711.0,665224.0
2024-06-26,1281116.0,1315893.0,755875.0
2024-06-27,1309376.0,1348738.0,851920.0
2024-06-28,1269306.0,1317998.0,601429.0
2024-06-29,1060522.0,1100460.0,585463.0
2024-06-30,1049916.0,1102703.0,575895.0
2024-07-01,1255239.0,1280621.0,795362.0
2024-07-02,1305263.0,1332049.0,781102.0
2024-07-03,1301700.0,1323989.0,866645.0
2024-07-04,1315872.0,1366536.0,486264.0
2024-07-05,1259627.0,1307941.0,475727.0
2024-07-06,1086331.0,1152743.0,266166.0
2024-07-07,983059.0,1031850.0,372019.0
2024-07-08,1213182.0,1249636.0,730987.0
2024-07-09,1274278.0,1309905.0,629438.0
2024-07-10,1323157.0,1359618.0,843687.0
2024-07-11,1275839.0,1309519.0,862478.0
2024-07-12,1259328.0,1280519.0,755089.0
2024-07-13,1067131.0,1111260.0,431570.0
2024-07-14,989231.0,1045090.0,409842.0
2024-07-15,1216638.0,1251678.0,658781.0
2024-07-16,1268340.0,1313073.0,584445.0
2024-07-17,1274574.0,1321149.0,660907.0
2024-07-18,1264554.0,1299364.0,837676.0
2024-07-19,1228499.0,1263023.0,795099.0
2024-07-20,1065072.0,1107042.0,537198.0
2024-07-21,1005622.0,1052560.0,531108.0
2024-07-22,1249415.0,1293542.0,714192.0
2024-07-23,1250083.0,1284743.0,757768.0
2024-07-24,1239784.0,1286728.0,705540.0
2024-07-25,1222179.0,1263786.0,769094.0
2024-07-26,1226108.0,1261260.0,818656.0
2024-07-27,1047632.0,1079947.0,790963.0
2024-07-28,975491.0,1028967.0,452086.0
2024-07-29,1138319.0,1182338.0,628978.0
2024-07-30,1176722.0,1216691.0,729252.0
2024-07-31,1215445.0,1249542.0,824724.0
2024-08-01,1281154.0,1308534.0,919854.0
2024-08-02,1222348.0,1253428.0,903605.0
2024-08-03,1041827.0,1084908.0,668693.0
2024-08-04,1003191.0,1054743.0,519764.0
2024-08-05,1210207.0,1251425.0,828102.0
2024-08-06,1230951.0,1271610.0,778279.0
2024-08-07,1265740.0,1301954.0,868462.0
2024-08-08,1249067.0,1289348.0,873842.0
2024-08-09,1250240.0,1307952.0,495022.0
2024-08-10,1060111.0,1112939.0,439726.0
2024-08-11,992690.0,1042048.0,517295.0
2024-08-12,1234082.0,1277062.0,720885.0
2024-08-13,1300395.0,1352856.0,685593.0
2024-08-14,1295531.0,1317381.0,867962.0
2024-08-15,1241759.0,1282847.0,808779.0
2024-08-16,1230733.0,1270020.0,752321.0
2024-08-17,1058836.0,1096795.0,766352.0
2024-08-18,1000248.0,1039081.0,756206.0
2024-08-19,1201470.0,1235184.0,860393.0
2024-08-20,1251542.0,1280441.0,760458.0
2024-08-21,1274876.0,1322586.0,491672.0
